Repo,Path,Has Docker,Docker Files,Web Ports,Has PoC,PoC Categories,PoC Files,Unittest Files,Docker Valid,Docker Message,Summary
detection-hackathon-apt29,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/detection-hackathon-apt29,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/detection-hackathon-apt29/Dockerfile,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/detection-hackathon-apt29/rules/sigma/windows/powershell/powershell_get_clipboard.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/detection-hackathon-apt29/rules/sigma/windows/powershell/powershell_decompress_commands.yml,,Yes,Has Dockerfile (untested),[![Binder](https://mybinder.org/badge_logo.svg)](https://mybinder.org/v2/gh/OTRF/detection-hackathon-apt29/master)
malleum-inc_canari3,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/malleum-inc_canari3,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/malleum-inc_canari3/lambda/Dockerfile,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/malleum-inc_canari3/src/canari/maltego/entities.py,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/malleum-inc_canari3/tests/test_mode.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/malleum-inc_canari3/tests/test_framework.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/malleum-inc_canari3/tests/test_config.py,Yes,Has Dockerfile (untested),Welcome to the Canari 3 repository - the next generation Maltego rapid transform development framework which allows you
locust,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/locust,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/locust/Dockerfile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/locust/examples/docker-compose/docker-compose.yml,,Yes,RCE; SSRF; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/locust/SECURITY.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/locust/locust/user/users.py,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/locust/locust/test/test_html_filename.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/locust/locust/test/test_socketio.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/locust/locust/test/fake_module2_for_env_test.py,No,docker-compose not found,[![PyPI](https://img.shields.io/pypi/v/locust.svg)](https://pypi.org/project/locust/)
SharpAllowedToAct-Modify,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SharpAllowedToAct-Modify,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SharpAllowedToAct-Modify/SharpAllowedToAct/Program.cs,,No,,本项目复制于[SharpAllowedToAct](https://github.com/pkb1s/SharpAllowedToAct)，因为有的时候可能只是拿到了一个特殊用户的账号密码，却没有这台用户所在机器的权限，想利用获取到的特殊账号（如加域账号）进行基于资源的约束委派的攻击，而`Sharp
UI-TARS-desktop,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/UI-TARS-desktop,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/UI-TARS-desktop/packages/agent-infra/mcp-servers/filesystem/Dockerfile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/UI-TARS-desktop/packages/agent-infra/mcp-servers/browser/Dockerfile,,Yes,RCE; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/UI-TARS-desktop/SECURITY.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/UI-TARS-desktop/multimodal/tarko/agent/tests/agent/stream-adapter.test.ts,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/UI-TARS-desktop/multimodal/omni-tars/core/debug_test.js; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/UI-TARS-desktop/multimodal/omni-tars/core/src/utils/streamingParser/debug/test_real.ts,Yes,Has Dockerfile (untested),"<img alt=""Agent TARS Banner"" src=""./images/tars.png"">"
composer-registry-manager,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/composer-registry-manager,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/composer-registry-manager/src/Command/RepoCommand.php; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/composer-registry-manager/tests/Command/RepoCommandTest.php,,No,,[![Build Status](https://img.shields.io/github/actions/workflow/status/slince/composer-registry-manager/test.yml?style=flat-square)](https://github.co
CVE-2023-23397_EXPLOIT_0DAY,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2023-23397_EXPLOIT_0DAY,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2023-23397_EXPLOIT_0DAY/README.md,,No,,Exploit for the CVE-2023-23397
Apache_Penetration_Tool,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Apache_Penetration_Tool,No,,,Yes,RCE; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Apache_Penetration_Tool/README-EN.md,,No,,![1.png](https://github.com/wangfly-me/Apache_Penetration_Tool/blob/main/images/1.png)
cve2022-26134exp,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/cve2022-26134exp,No,,,Yes,RCE; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/cve2022-26134exp/cve2022-26134exp.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/cve2022-26134exp/README.md,,No,,使用时请注意遵守相关法律规定！本工具仅供学习和已授权情况下的安全测试。
gpt-researcher,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gpt-researcher,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gpt-researcher/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gpt-researcher/Dockerfile,"3000, 8000",Yes,File Upload; SQL Injection; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gpt-researcher/gpt_researcher/llm_provider/image/image_generator.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gpt-researcher/docs/docs/gpt-researcher/context/filtering-by-domain.md,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gpt-researcher/gpt_researcher/config/variables/test_local.json; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gpt-researcher/tests/research_test.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gpt-researcher/tests/test_researcher_logging.py,No,docker-compose not found,"<img src=""https://github.com/assafelovic/gpt-researcher/assets/13554167/20af8286-b386-44a5-9a83-3be1365139c3"" alt=""Logo"" width=""80"">"
Kali-Linux-Tools-Interface,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Kali-Linux-Tools-Interface,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Kali-Linux-Tools-Interface/assets/includes/tools-categories.php; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Kali-Linux-Tools-Interface/assets/vendor/@fortawesome/fontawesome-free/svgs/brands/get-pocket.svg,,No,,"<a href=""https://doi.org/10.5281/zenodo.17298709""><img src=""https://zenodo.org/badge/178942548.svg"" alt=""DOI""></a>"
sbt-dependency-check,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/sbt-dependency-check,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/sbt-dependency-check/dependency-check-suppressions.xml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/sbt-dependency-check/src/main/scala/net/vonbuchholtz/sbt/dependencycheck/VulnerabilityFoundException.scala,,No,,> **This repository is no longer maintained and has been archived.**
AdvBox,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AdvBox,No,,,Yes,Command Injection; RCE; RCE; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AdvBox/fig_cat.png; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AdvBox/adversarialbox.md,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AdvBox/example/images/mytest_list.txt,No,,![logo](pic/logo.png)
tunshell,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/tunshell,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/tunshell/aws/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/tunshell/tunshell-server/docker-compose.yml,3000,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/tunshell/SECURITY.md,,No,docker-compose not found,Tunshell is a simple and secure method to remote shell into ephemeral environments such as deployment pipelines or serverless functions.
ocean_ctf,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ocean_ctf,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ocean_ctf/docker-compose.yml,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ocean_ctf/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ocean_ctf/README.md,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ocean_ctf/tests/test_tasks.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ocean_ctf/tests/conftest.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ocean_ctf/tests/test_docker.py,No,docker-compose not found,🌊 Ocean CTF
haven,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/haven,No,,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/haven/docs/preso/havenpreso-20.jpg; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/haven/docs/preso/lib/font/source-sans-pro/source-sans-pro-italic.woff,,No,,Haven is for people who need a way to protect their personal areas and possessions without compromising their privacy. It is an Android application th
ludwig,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ludwig,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ludwig/docker/ludwig/Dockerfile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ludwig/docker/ludwig-ray/Dockerfile,9000,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ludwig/ludwig/utils/gbm_utils.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ludwig/ludwig/utils/math_utils.py,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ludwig/pytest.ini; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ludwig/requirements_test.txt; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ludwig/ludwig/utils/numerical_test_utils.py,No,docker-compose not found,"<a href=""https://ludwig.ai"">"
coffeehb_Spring4Shell,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/coffeehb_Spring4Shell,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/coffeehb_Spring4Shell/README.md,,No,,一个Spring4Shell【CVE-2022-22965】 被动式检测的Burp插件。
Meppo,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Meppo,No,,,Yes,RCE; RCE; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Meppo/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Meppo/Moudle/YAPI/YAPI_Mock_RCE.py,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Meppo/Moudle/Demo/Test.py,No,,漏洞检测框架 Meppo | By WingsSec
goWAPT,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/goWAPT,No,,,Yes,File Upload; LFI/RFI; SQL Injection; Header Injection; RCE; SSRF; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/goWAPT/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/goWAPT/wordlist/wordlists-user-passwd/readme.txt,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/goWAPT/wordlist/discovery/predictable-filepaths/filename-dirname-bruteforce/test_demo.txt; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/goWAPT/wordlist/stress/test_ext.txt,No,,"GOWAPT is the younger brother of [wfuzz](https://github.com/xmendez/wfuzz) a swiss army knife of WAPT, it allow pentester to perform huge activity wit"
Spark-TTS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Spark-TTS,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Spark-TTS/runtime/triton_trtllm/docker-compose.yml,8000,No,,,,No,docker-compose not found,Official PyTorch code for inference of <br>
uProxy-p2p,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/uProxy-p2p,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/uProxy-p2p/docker/sshd/Dockerfile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/uProxy-p2p/docker/quiver/Dockerfile,3000,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/uProxy-p2p/src/generic_core/firewall.ts; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/uProxy-p2p/src/lib/arraybuffers/arraybuffers.ts,,Yes,Has Dockerfile (untested),[uProxy](https://www.uproxy.org) is a browser extension that lets users share their internet connection.
RCE-labs,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/RCE-labs,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/RCE-labs/Level 18/Dockerfile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/RCE-labs/Level 25/Dockerfile,"80, 8080",Yes,RCE; RCE; XXE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/RCE-labs/Level 25/index.php; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/RCE-labs/Level 12/src/app.py,,Yes,Has Dockerfile (untested),> 【hello-ctf.com 基础靶场计划】，访问 [[hello-ctf.com 配套靶场]](https://hello-ctf.com/hc-labs/)  探索更多靶场。
real-world-haskell-cn,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/real-world-haskell-cn,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/real-world-haskell-cn/code/ch13/num.hs; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/real-world-haskell-cn/code/ch03/AlgebraicVector.hs,,No,,=======================================
Burp-UserAgent,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Burp-UserAgent,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Burp-UserAgent/src/burp/IIntruderAttack.java; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Burp-UserAgent/src/burp/IIntruderPayloadGenerator.java,,No,,Automatically modify the User-Agent header in all Burp requests.
Waffles-2_SambaCry,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Waffles-2_SambaCry,No,,,Yes,SQL Injection; XSS; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Waffles-2_SambaCry/CVE-2017-7494.nse; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Waffles-2_SambaCry/README.md,,No,,CVE-2017-7494.nse - Nmap Detection Script
winnpixie_log4noshell,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/winnpixie_log4noshell,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/winnpixie_log4noshell/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/winnpixie_log4noshell/src/main/java/io/github/winnpixie/log4noshell/Log4NoShellAgent.java,,No,,"A Java Agent that disables Apache Log4J's JNDI Lookup to mitigate [CVE-2021-44228](https://nvd.nist.gov/vuln/detail/CVE-2021-44228) (""Log4Shell"")."
TJ-JPT,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TJ-JPT,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TJ-JPT/TJ-Pentest-Template-2.0.jex; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TJ-JPT/TJ-Pentest-Template-3.0.jex,,No,,"As a pentester, there are many great resources, cheat sheets, and guidelines that contain a large amount of valuable"
Cobra,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Cobra,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Cobra/Dockerfile,5000,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Cobra/cobra/__init__.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Cobra/cobra/const.py,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Cobra/cobra/templates/asset/codemirror/mode/css/scss_test.js; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Cobra/cobra/templates/asset/codemirror/mode/css/gss_test.js; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Cobra/cobra/templates/asset/codemirror/mode/css/less_test.js,Yes,Has Dockerfile (untested),[![Build Status](https://travis-ci.org/WhaleShark-Team/cobra.svg?branch=master)](https://travis-ci.org/WhaleShark-Team/cobra)
rsnapshot,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/rsnapshot,No,,,Yes,XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/rsnapshot/rsnapshot-diff.pl; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/rsnapshot/utils/sign_packages.sh,,No,,"rsnapshot comes with ABSOLUTELY NO WARRANTY.  This is free software,"
AceofHearts,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AceofHearts,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AceofHearts/models/doskey.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AceofHearts/install/penetration_testing_tools.go,,No,,No README found
Joomla3.7-SQLi-CVE-2017-8917,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Joomla3.7-SQLi-CVE-2017-8917,No,,,Yes,SQL Injection; SQL Injection; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Joomla3.7-SQLi-CVE-2017-8917/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Joomla3.7-SQLi-CVE-2017-8917/CVE-2017-8917.py,,No,,It is a simple script to use ZoomEye API to batch-scan Joomla 3.7 SQL injection (CVE-2017-8917).
pxe,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/pxe,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/pxe/Dockerfile,,No,,,,Yes,Has Dockerfile (untested),"This is a Dockerfile to build a container running a PXE server,"
PowerUpSQL,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/PowerUpSQL,No,,,Yes,RCE; SQL Injection; XSS; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/PowerUpSQL/scripts/pending/Invoke-SqlServer-Persist-TriggerLogon.psm1; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/PowerUpSQL/scripts/pending/SQLC2.ps1,,No,,[![licence badge]][licence]
ElasticView,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ElasticView,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ElasticView/deploy/ev/Dockerfile,,Yes,SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ElasticView/pkg/infrastructure/sqlstore/dump_sql.go,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ElasticView/pkg/util/md5_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ElasticView/pkg/util/strings_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ElasticView/pkg/util/validation_test.go,Yes,Has Dockerfile (untested),"<img src=""https://raw.githubusercontent.com/1340691923/ElasticView/c01b67cf1f97fb543d4513d1b6a4a7eac20a8387/resources/vue/src/assets/logo.png"" width="""
ZacharyZcR_AWD,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ZacharyZcR_AWD,No,,,Yes,RCE; RCE; SQL Injection; RCE; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ZacharyZcR_AWD/awdphpspear/tools.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ZacharyZcR_AWD/awdphpspear/attack.pyc,,No,,项目重构中...
nlvm,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nlvm,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nlvm/Dockerfile,,No,,,,Yes,Has Dockerfile (untested),[nlvm](https://github.com/arnetheduck/nlvm) (the nim-level virtual machine?)
honoki_bbrf-server,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/honoki_bbrf-server,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/honoki_bbrf-server/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/honoki_bbrf-server/Dockerfile,443,No,,,,No,docker-compose not found,[![BlueSky](https://img.shields.io/badge/@honoki.net-0285FA?logo=bluesky&logoColor=fff&style=flat-square)](https://bsky.app/profile/honoki.net)
